DT_PCODE,DT,TS_PCODE,TS,TT_HOUSEHOLDS,RADIO,TV,LLPHONE,MPHONE,COMPUTER,INTERNET,RADIO_PR,TV_PR,LLPHONE_PR,MPHONE_PR,COMPUTER_PR,INTERNET_PR
MMR015D003,Kyaukme,MMR015017,Mongmit,13652,3907,7565,482,3559,166,321,286.185174333431,554.1312628186347,35.3061822443598,260.69440375036623,12.15939056548491,23.513038382654557
MMR015D003,Kyaukme,MMR015018,Mabein,8632,3880,6117,628,3389,142,165,449.4902687673772,708.6422613531047,72.75254865616311,392.6088971269694,16.450417052826694,19.11492122335496
MMR015D003,Kyaukme,MMR015019,Manton,7683,1493,1447,62,421,28,8,194.32513341142783,188.33788884550307,8.069764414942078,54.796303527267995,3.6444097357802945,1.0412599245086556
MMR015D004,Kunlong,MMR015020,Kunlong,10392,1267,6129,1886,2469,216,93,121.92070823710546,589.7806004618938,181.48575827559662,237.5866050808314,20.785219399538104,8.94919168591224
MMR015D005,Laukkaing,MMR015022,Laukkaing,14231,758,11079,1912,10200,506,377,53.26400112430609,778.5116998102734,134.35457803386973,716.7451338626942,35.5561801700513,26.491462300611342
MMR015D005,Laukkaing,MMR015023,Konkyan,5462,115,1568,925,1730,59,53,21.054558769681435,287.0743317466129,169.35188575613327,316.7337971439033,10.801904064445257,9.703405346027095
MMR015D006,Hopang,MMR015021,Hopang,10031,1280,5586,820,4892,246,229,127.60442627853655,556.8736915561758,81.74658558468748,487.68816668328185,24.52397567540624,22.829229388894426
MMR015D006,Hopang,MMR015008,Mongmao,10445,1254,5355,893,4439,118,73,120.05744375299186,512.6854954523695,85.49545236955481,424.98803255146,11.297271421732885,6.988989947343226
MMR015D006,Hopang,MMR015007,Pangwaun,13969,1065,5123,405,7238,84,58,76.24024625957477,366.74063998854604,28.99276970434534,518.1473262223495,6.013315197938292,4.1520509700050114
MMR015D007,Matman,MMR015024,Matman,3318,810,728,28,150,20,15,244.122965641953,219.40928270042195,8.438818565400844,45.20795660036166,6.027727546714889,4.520795660036167
MMR015D007,Matman,MMR015005,Pangsang,16142,1573,7915,1010,7116,814,883,97.44765208772148,490.33577004088716,62.56969396605129,440.83756659645644,50.42745632511461,54.70201957626069
MMR015D007,Matman,MMR015006,Narphan,16474,1240,3461,695,5029,54,38,75.27012261745782,210.08862449921088,42.18768969284934,305.268908583222,3.2778924365667113,2.3066650479543522
MMR016D001,Kengtung,MMR016001,Kengtung,34096,9121,21746,2155,16616,1621,2581,267.50938526513374,637.7874237447207,63.2038948850305,487.329892069451,47.54223369310183,75.69802909432191
MMR016D001,Kengtung,MMR016002,Mongkhet,8025,637,2515,233,920,55,26,79.37694704049844,313.3956386292835,29.034267912772584,114.6417445482866,6.853582554517134,3.2398753894080996
MMR016D001,Kengtung,MMR016003,Mongyang,10119,726,5761,1153,4746,130,47,71.74621998221168,569.3250321177982,113.94406561913233,469.01867773495405,12.84711928056132,4.644727739895246
MMR016D001,Kengtung,MMR016005,Mongla,5208,428,3506,453,2891,326,590,82.18125960061444,673.195084485407,86.9815668202765,555.1075268817203,62.59600614439324,113.28725038402459
MMR016D002,Monghsat,MMR016006,Monghsat,15909,1713,7320,549,3015,363,324,107.67490099943429,460.1169149537997,34.508768621534976,189.51536865924948,22.81727324156138,20.365830661889497
MMR016D002,Monghsat,MMR016007,Mongping,10605,1717,3509,261,2023,123,145,161.90476190476193,330.88165959453084,24.61103253182461,190.75907590759076,11.598302687411598,13.672795851013673
MMR016D002,Monghsat,MMR016008,Mongton,4258,824,1654,107,1237,93,206,193.51808360732738,388.4452794739314,25.12916862376703,290.5119774542039,21.841240018788163,48.379520901831846
MMR016D003,Tachileik,MMR016009,Tachileik,31179,11329,23678,1863,22930,2881,2569,363.35353924115594,759.4214054331441,59.75175598960839,735.4308990025338,92.4019372013214,82.39520189871388
MMR016D004,Monghpyak,MMR016010,Monghpyak,6165,2497,3103,262,2354,155,299,405.02838605028387,503.3252230332522,42.49797242497973,381.83292781832927,25.141930251419303,48.499594484995946
MMR016D004,Monghpyak,MMR016011,Mongyawng,6329,1760,4679,772,2051,97,83,278.0850055300995,739.2953073155318,121.97819560752093,324.06383314899665,15.326275872965715,13.114236056249013
